"id_resenia","id_estadia","id_huesped","calificacion","comentario"
120,120,256,2.3,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
118,118,915,4.6,In quis justo.
124,124,814,2.0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
126,126,491,4.9,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
129,129,475,1.1,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
134,134,640,2.4,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
140,140,576,1.1,In blandit ultrices enim.
148,148,179,1.2,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
153,153,473,4.0,Morbi quis tortor id nulla ultrices aliquet.
121,121,266,4.5,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.
164,164,316,4.0,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
168,168,75,2.5,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
214,214,54,3.2,Maecenas ut massa quis augue luctus tincidunt.
221,221,8,4.8,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
223,223,660,2.7,Proin risus.
226,226,787,2.4,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
228,228,492,4.8,Maecenas pulvinar lobortis est. Phasellus sit amet erat.
233,233,968,1.9,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
163,163,32,4.5,Integer ac leo.
206,206,609,4.5,Curabitur convallis.
243,243,295,2.7,Aenean fermentum.
246,246,3,3.4,Maecenas rhoncus aliquam lacus.
251,251,225,3.4,Phasellus in felis. Donec semper sapien a libero. Nam dui.
259,259,312,4.2,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
268,268,448,1.4,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
281,281,190,4.3,Suspendisse potenti. Nullam porttitor lacus at turpis.
283,283,11,3.6,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
285,285,170,4.5,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
293,293,104,2.3,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
289,289,905,2.0,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
295,295,726,2.3,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
294,294,920,4.5,Fusce consequat. Nulla nisl. Nunc nisl.
284,284,256,2.8,Proin risus. Praesent lectus.
266,266,519,4.5,Aliquam erat volutpat. In congue. Etiam justo.
317,317,334,4.6,Morbi vel lectus in quam fringilla rhoncus.
321,321,228,3.5,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
323,323,740,4.5,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.
326,326,841,1.9,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
334,334,402,4.9,In quis justo. Maecenas rhoncus aliquam lacus.
341,341,912,1.2,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
350,350,858,1.9,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
309,309,76,2.8,Aenean auctor gravida sem.
330,330,431,2.8,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
332,332,211,2.8,Morbi a ipsum. Integer a nibh. In quis justo.
318,318,285,4.5,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
370,370,414,4.5,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
322,322,579,4.5,Donec quis orci eget orci vehicula condimentum.
374,374,424,1.9,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
375,375,462,4.2,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
385,385,338,1.7,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.
391,391,189,3.2,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
380,380,406,2.3,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
404,404,515,2.4,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
434,434,855,3.4,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
443,443,716,4.0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
451,451,350,1.9,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
449,449,213,2.8,Aenean sit amet justo.
447,447,549,2.8,Integer ac leo.
452,452,502,2.8,Cras non velit nec nisi vulputate nonummy.
405,405,804,4.5,Aliquam quis turpis eget elit sodales scelerisque.
430,430,316,4.5,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
457,457,143,4.6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
458,458,235,1.7,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
454,454,84,2.3,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
469,469,529,3.5,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
475,475,33,4.4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
485,485,717,3.6,Aliquam sit amet diam in magna bibendum imperdiet.
490,490,444,3.5,Proin interdum mauris non ligula pellentesque ultrices.
516,516,17,1.1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
518,518,677,2.6,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
522,522,88,3.2,Praesent blandit.
523,523,446,4.4,Integer non velit.
488,488,5,2.8,Ut at dolor quis odio consequat varius. Integer ac leo.
534,534,670,1.7,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
539,539,3,3.2,Donec semper sapien a libero.
545,545,556,3.2,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
546,546,932,4.7,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.
566,566,749,1.1,Aliquam erat volutpat.
581,581,192,4.6,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
587,587,79,2.7,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
602,602,102,4.4,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
537,537,164,2.8,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.
544,544,783,2.8,Nulla facilisi.
593,593,752,4.5,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
613,613,931,4.5,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
616,616,684,4.6,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.
630,630,783,4.7,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
634,634,341,4.5,Donec ut dolor.
643,643,146,1.2,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.
645,645,232,1.1,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
668,668,578,2.8,Aliquam sit amet diam in magna bibendum imperdiet.
671,671,475,4.8,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
677,677,917,3.5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
678,678,925,2.8,Ut tellus. Nulla ut erat id mauris vulputate elementum.
618,618,243,4.5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
684,684,89,2.8,Duis consequat dui nec nisi volutpat eleifend.
694,694,902,4.0,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
708,708,645,2.8,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
723,723,5,1.2,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
731,731,734,4.4,Praesent lectus.
742,742,738,4.0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
751,751,376,4.6,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
740,740,485,2.8,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
755,755,227,2.8,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
747,747,492,2.8,Proin risus. Praesent lectus.
763,763,669,2.6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
764,764,786,2.7,Suspendisse ornare consequat lectus.
767,767,36,1.4,Proin eu mi. Nulla ac enim.
796,796,329,3.2,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
824,824,583,2.3,Vestibulum rutrum rutrum neque.
783,783,228,3.2,Pellentesque viverra pede ac diam.
786,786,571,3.5,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
789,789,295,4.9,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
807,807,802,1.3,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
827,827,172,2.5,Quisque ut erat.
776,776,18,2.8,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
809,809,871,2.8,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
790,790,394,4.5,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
838,838,561,4.2,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
850,850,254,4.0,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc."
854,854,591,4.3,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
873,873,458,2.6,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
887,887,28,4.2,Donec ut mauris eget massa tempor convallis.
890,890,98,1.1,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
891,891,157,1.9,Phasellus in felis. Donec semper sapien a libero. Nam dui.
899,899,709,2.8,Sed ante. Vivamus tortor. Duis mattis egestas metus.
900,900,469,2.7,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
834,834,957,2.8,Donec ut mauris eget massa tempor convallis.
852,852,652,2.8,Vivamus tortor.
926,926,610,2.4,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
927,927,448,1.1,Quisque ut erat.
934,934,367,2.8,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
945,945,304,4.5,Sed ante.
948,948,15,2.7,Nullam molestie nibh in lectus.
963,963,494,2.5,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
978,978,230,3.5,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
912,912,186,2.8,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
960,960,775,4.5,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
985,985,819,4.2,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
991,991,943,1.4,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
992,992,632,2.8,Morbi ut odio.
989,989,682,2.8,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
995,995,823,4.5,Donec ut mauris eget massa tempor convallis.
30,30,281,4.5,Morbi vel lectus in quam fringilla rhoncus.
122,122,810,4.5,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
603,603,438,4.5,Sed ante. Vivamus tortor. Duis mattis egestas metus.
267,267,932,2.8,Pellentesque eget nunc.
227,227,560,2.8,Nulla ut erat id mauris vulputate elementum. Nullam varius.
196,196,629,2.8,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
263,263,644,2.8,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
387,387,107,2.8,Quisque ut erat. Curabitur gravida nisi at nibh.
637,637,655,2.8,Praesent id massa id nisl venenatis lacinia.
676,676,726,2.8,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
712,712,634,2.8,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
810,810,146,2.8,Etiam vel augue.
907,907,42,2.8,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
794,794,943,2.8,Pellentesque viverra pede ac diam.
957,957,725,2.8,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
780,780,540,2.8,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
851,851,322,2.8,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
468,468,914,2.8,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.
