"id_factura","id_empleado","id_huesped","id_estadia","fecha","metodo_pago","total_a_pagar"
108,108,108,108,2026-12-14 08:53:14.000,TARJETA,45.84
109,109,109,109,2025-12-02 00:24:55.000,TARJETA,2210.68
110,110,110,110,2025-06-20 10:43:15.000,TRANSFERENCIA,1321.85
111,111,111,111,2026-04-30 13:22:09.000,BITCOIN,2069.69
112,112,112,112,2025-09-12 22:44:20.000,EFECTIVO,1696.71
113,113,113,113,2025-01-03 02:26:54.000,TARJETA,2238.42
114,114,114,114,2025-10-10 19:38:43.000,BITCOIN,2412.58
115,115,115,115,2026-12-09 13:18:09.000,TARJETA,435.29
116,116,116,116,2025-08-30 09:15:57.000,TARJETA,931.02
117,117,117,117,2026-05-12 18:35:11.000,TRANSFERENCIA,786.39
118,118,118,118,2026-07-12 19:58:12.000,EFECTIVO,2055.80
119,119,119,119,2025-04-10 22:57:18.000,EFECTIVO,1341.42
120,120,120,120,2025-05-05 06:05:15.000,EFECTIVO,1821.94
121,121,121,121,2025-06-08 17:27:44.000,PAYPAL,2946.81
122,122,122,122,2026-11-26 03:17:28.000,TRANSFERENCIA,2282.05
123,123,123,123,2025-07-25 16:02:39.000,TARJETA,2042.95
124,124,124,124,2025-04-25 23:14:31.000,EFECTIVO,1388.75
125,125,125,125,2025-01-12 18:04:09.000,PAYPAL,2665.16
126,126,126,126,2025-11-21 03:29:49.000,TARJETA,2279.84
127,127,127,127,2026-12-06 11:41:25.000,BITCOIN,2429.66
128,128,128,128,2025-10-29 14:05:56.000,TRANSFERENCIA,207.90
129,129,129,129,2026-12-17 22:02:31.000,PAYPAL,1206.30
130,130,130,130,2026-04-22 12:10:45.000,BITCOIN,2304.82
131,131,131,131,2026-01-10 03:10:38.000,BITCOIN,2910.27
132,132,132,132,2026-01-15 09:10:10.000,PAYPAL,1365.42
133,133,133,133,2026-03-25 00:10:17.000,TARJETA,1625.44
134,134,134,134,2026-10-03 04:27:53.000,PAYPAL,286.09
135,135,135,135,2026-07-20 05:41:30.000,PAYPAL,1427.40
136,136,136,136,2026-09-12 23:17:24.000,EFECTIVO,2520.52
137,137,137,137,2025-12-11 16:34:17.000,TARJETA,2928.06
138,138,138,138,2026-07-28 22:43:52.000,PAYPAL,1563.67
139,139,139,139,2026-03-28 08:04:23.000,BITCOIN,1481.50
140,140,140,140,2025-05-16 00:47:52.000,PAYPAL,2211.90
141,141,141,141,2026-03-28 21:57:21.000,BITCOIN,90.74
142,142,142,142,2025-02-21 11:49:15.000,TRANSFERENCIA,2265.60
143,143,143,143,2026-12-15 19:55:14.000,EFECTIVO,72.01
144,144,144,144,2025-10-22 05:01:14.000,EFECTIVO,781.13
145,145,145,145,2026-12-05 22:28:26.000,PAYPAL,1488.16
146,146,146,146,2026-12-08 19:41:18.000,TARJETA,1954.32
147,147,147,147,2025-01-26 20:22:12.000,EFECTIVO,2243.53
148,148,148,148,2026-12-11 07:34:59.000,EFECTIVO,1740.13
149,149,149,149,2025-10-18 15:11:25.000,EFECTIVO,1066.90
150,150,150,150,2026-02-28 06:34:42.000,PAYPAL,2113.47
151,151,151,151,2026-07-05 17:38:30.000,TRANSFERENCIA,2890.96
152,152,152,152,2026-11-23 05:54:36.000,PAYPAL,443.27
153,153,153,153,2025-03-20 03:14:33.000,EFECTIVO,2280.36
154,154,154,154,2025-08-21 00:13:01.000,PAYPAL,2341.44
155,155,155,155,2025-05-26 07:09:20.000,PAYPAL,2928.25
156,156,156,156,2026-11-12 16:32:30.000,PAYPAL,243.78
157,157,157,157,2026-03-11 10:11:12.000,EFECTIVO,86.92
158,158,158,158,2026-10-24 02:51:17.000,TARJETA,2651.40
159,159,159,159,2025-03-08 17:17:10.000,EFECTIVO,782.17
160,160,160,160,2025-05-11 01:19:12.000,BITCOIN,924.91
161,161,161,161,2025-07-19 18:38:22.000,EFECTIVO,1303.42
162,162,162,162,2026-08-29 13:18:49.000,EFECTIVO,1732.75
163,163,163,163,2025-10-01 07:34:30.000,BITCOIN,2398.27
164,164,164,164,2026-03-27 19:50:32.000,TRANSFERENCIA,958.20
165,165,165,165,2026-08-15 05:05:09.000,EFECTIVO,2815.69
166,166,166,166,2025-03-02 02:29:40.000,EFECTIVO,992.96
167,167,167,167,2025-01-18 14:43:02.000,EFECTIVO,1646.52
168,168,168,168,2026-03-13 23:35:59.000,EFECTIVO,2200.07
169,169,169,169,2025-03-29 01:41:03.000,PAYPAL,2284.13
170,170,170,170,2026-03-22 13:16:50.000,EFECTIVO,2093.56
171,171,171,171,2026-05-29 23:54:22.000,TRANSFERENCIA,2416.85
172,172,172,172,2025-12-02 22:26:29.000,TRANSFERENCIA,2131.42
173,173,173,173,2026-07-19 06:10:00.000,PAYPAL,1574.35
174,174,174,174,2026-01-06 07:21:52.000,PAYPAL,979.79
175,175,175,175,2025-12-26 06:17:30.000,TRANSFERENCIA,2584.66
176,176,176,176,2026-01-13 04:23:26.000,TRANSFERENCIA,1223.28
177,177,177,177,2026-05-21 10:10:11.000,PAYPAL,1265.64
178,178,178,178,2025-02-28 01:24:36.000,BITCOIN,351.94
179,179,179,179,2025-06-17 23:31:53.000,BITCOIN,1257.01
180,180,180,180,2026-05-13 03:12:36.000,EFECTIVO,2509.27
181,181,181,181,2025-10-31 08:41:43.000,BITCOIN,331.20
182,182,182,182,2026-08-13 15:09:25.000,EFECTIVO,302.49
183,183,183,183,2026-12-09 23:23:01.000,BITCOIN,506.61
184,184,184,184,2025-02-11 22:38:37.000,BITCOIN,557.05
185,185,185,185,2025-04-18 07:49:46.000,TARJETA,2562.75
186,186,186,186,2026-05-31 07:12:46.000,BITCOIN,2707.80
187,187,187,187,2025-07-28 22:23:56.000,TRANSFERENCIA,1533.89
188,188,188,188,2025-12-09 22:26:59.000,BITCOIN,2956.95
189,189,189,189,2025-07-08 01:06:30.000,PAYPAL,2791.62
190,190,190,190,2025-10-14 19:54:11.000,PAYPAL,991.88
191,191,191,191,2025-06-15 10:06:25.000,BITCOIN,2645.55
192,192,192,192,2026-12-11 12:55:41.000,EFECTIVO,333.03
193,193,193,193,2026-10-13 22:41:11.000,PAYPAL,2542.17
194,194,194,194,2026-12-27 02:33:12.000,TARJETA,1969.91
195,195,195,195,2026-11-14 08:24:33.000,TARJETA,1189.13
196,196,196,196,2025-09-05 09:24:53.000,EFECTIVO,1567.94
197,197,197,197,2025-10-16 19:20:01.000,TRANSFERENCIA,368.78
198,198,198,198,2026-03-19 08:22:23.000,TRANSFERENCIA,1752.81
199,199,199,199,2026-09-05 17:31:57.000,TRANSFERENCIA,545.45
200,200,200,200,2026-09-27 00:10:11.000,PAYPAL,1261.18
201,201,201,201,2026-09-27 10:31:00.000,BITCOIN,765.46
202,202,202,202,2026-01-10 20:37:44.000,TRANSFERENCIA,1972.33
203,203,203,203,2026-07-29 14:56:47.000,PAYPAL,641.94
204,204,204,204,2025-04-01 05:03:57.000,PAYPAL,2365.66
205,205,205,205,2025-08-02 14:40:12.000,TRANSFERENCIA,181.64
206,206,206,206,2025-07-21 10:02:29.000,EFECTIVO,1264.17
207,207,207,207,2026-11-30 06:04:11.000,TRANSFERENCIA,2238.53
208,208,208,208,2025-07-10 16:42:16.000,BITCOIN,2951.45
209,209,209,209,2026-08-14 19:35:49.000,PAYPAL,1634.74
210,210,210,210,2026-01-22 15:33:12.000,EFECTIVO,1524.21
211,211,211,211,2026-08-20 03:17:47.000,TARJETA,2885.52
212,212,212,212,2025-11-09 15:40:55.000,TRANSFERENCIA,2226.94
213,213,213,213,2026-11-28 22:58:53.000,TARJETA,2060.95
214,214,214,214,2025-08-05 00:18:07.000,PAYPAL,136.52
215,215,215,215,2025-06-27 13:58:57.000,TARJETA,1650.77
216,216,216,216,2026-11-14 10:12:55.000,TRANSFERENCIA,866.09
217,217,217,217,2025-07-20 23:25:02.000,TRANSFERENCIA,1982.28
218,218,218,218,2025-04-17 19:14:29.000,BITCOIN,2241.93
219,219,219,219,2026-12-23 11:24:12.000,TRANSFERENCIA,2509.79
220,220,220,220,2025-01-10 15:42:26.000,BITCOIN,108.51
221,221,221,221,2025-04-24 14:23:28.000,EFECTIVO,1148.48
222,222,222,222,2026-11-23 19:08:41.000,EFECTIVO,1450.41
223,223,223,223,2026-09-27 02:06:37.000,BITCOIN,366.19
224,224,224,224,2025-11-08 01:51:46.000,TARJETA,73.94
225,225,225,225,2025-06-25 02:16:54.000,TARJETA,785.56
226,226,226,226,2025-06-22 20:06:44.000,TARJETA,2930.82
227,227,227,227,2025-12-27 09:31:32.000,BITCOIN,2636.20
228,228,228,228,2025-02-24 16:46:45.000,PAYPAL,1854.48
229,229,229,229,2026-08-26 04:16:20.000,EFECTIVO,2009.98
230,230,230,230,2025-03-14 08:54:15.000,TARJETA,824.04
231,231,231,231,2025-08-09 09:55:51.000,EFECTIVO,122.65
232,232,232,232,2026-08-01 13:32:15.000,TARJETA,2452.59
233,233,233,233,2026-03-07 23:36:29.000,TRANSFERENCIA,1570.60
234,234,234,234,2026-06-23 17:18:28.000,EFECTIVO,2122.07
235,235,235,235,2025-07-06 06:08:00.000,TARJETA,1225.49
236,236,236,236,2025-10-08 07:42:30.000,PAYPAL,2214.73
237,237,237,237,2026-06-24 15:12:37.000,BITCOIN,2164.47
238,238,238,238,2026-12-09 23:55:46.000,PAYPAL,354.22
239,239,239,239,2026-05-13 21:26:09.000,BITCOIN,2590.72
240,240,240,240,2026-03-17 20:11:08.000,EFECTIVO,2874.21
241,241,241,241,2025-05-14 12:00:24.000,PAYPAL,718.04
242,242,242,242,2026-08-29 10:52:28.000,TARJETA,2781.83
243,243,243,243,2025-11-09 18:14:24.000,PAYPAL,1517.17
244,244,244,244,2026-03-07 20:46:11.000,BITCOIN,854.10
245,245,245,245,2025-12-09 23:22:10.000,TRANSFERENCIA,464.67
246,246,246,246,2026-06-21 13:30:34.000,PAYPAL,1488.89
247,247,247,247,2025-03-28 20:08:43.000,EFECTIVO,1408.87
248,248,248,248,2025-11-07 10:02:48.000,BITCOIN,2804.71
249,249,249,249,2025-10-05 18:17:21.000,EFECTIVO,572.07
250,250,250,250,2025-10-18 01:36:27.000,PAYPAL,162.13
251,251,251,251,2026-06-13 23:36:10.000,PAYPAL,174.53
252,252,252,252,2026-01-22 05:07:25.000,EFECTIVO,2979.99
253,253,253,253,2026-02-16 07:36:31.000,TARJETA,824.37
254,254,254,254,2026-08-21 12:24:06.000,PAYPAL,1323.37
255,255,255,255,2025-07-03 07:32:04.000,EFECTIVO,988.65
256,256,256,256,2025-02-12 12:01:07.000,BITCOIN,376.53
257,257,257,257,2026-03-25 08:13:54.000,TRANSFERENCIA,1718.06
258,258,258,258,2025-02-17 16:49:29.000,TRANSFERENCIA,156.43
259,259,259,259,2026-12-26 11:14:46.000,PAYPAL,2642.90
260,260,260,260,2026-07-10 06:03:28.000,TRANSFERENCIA,46.10
261,261,261,261,2025-09-17 10:41:09.000,PAYPAL,1464.75
262,262,262,262,2025-08-28 12:23:45.000,PAYPAL,47.49
263,263,263,263,2025-06-14 07:01:05.000,TARJETA,617.50
264,264,264,264,2026-11-21 00:31:26.000,EFECTIVO,342.72
265,265,265,265,2026-08-19 04:53:30.000,TARJETA,624.81
266,266,266,266,2025-12-30 13:13:15.000,EFECTIVO,969.03
267,267,267,267,2026-01-07 12:56:47.000,TARJETA,1258.30
268,268,268,268,2026-05-05 11:50:10.000,TARJETA,134.94
269,269,269,269,2026-06-10 12:03:16.000,TRANSFERENCIA,2517.78
270,270,270,270,2026-10-17 04:14:59.000,PAYPAL,666.64
271,271,271,271,2025-09-21 00:13:06.000,PAYPAL,2547.75
272,272,272,272,2025-11-13 00:52:19.000,TRANSFERENCIA,936.61
273,273,273,273,2025-03-01 08:23:20.000,BITCOIN,1047.74
274,274,274,274,2026-07-14 21:34:11.000,EFECTIVO,2392.17
275,275,275,275,2026-01-09 06:05:54.000,PAYPAL,2100.73
276,276,276,276,2026-02-11 15:45:57.000,TARJETA,1842.02
277,277,277,277,2026-05-12 21:21:01.000,PAYPAL,705.72
278,278,278,278,2025-01-06 11:40:40.000,TRANSFERENCIA,1608.22
279,279,279,279,2026-11-21 20:23:35.000,TRANSFERENCIA,717.20
280,280,280,280,2025-08-18 04:28:50.000,EFECTIVO,158.08
281,281,281,281,2025-12-01 16:37:51.000,TRANSFERENCIA,2207.25
282,282,282,282,2025-11-27 20:25:28.000,EFECTIVO,1057.40
283,283,283,283,2026-08-13 23:36:10.000,TARJETA,2025.29
284,284,284,284,2026-03-12 19:37:41.000,EFECTIVO,1281.27
285,285,285,285,2026-09-29 03:01:34.000,TARJETA,49.45
286,286,286,286,2025-02-11 20:08:16.000,TRANSFERENCIA,1002.32
287,287,287,287,2025-04-06 23:35:55.000,TRANSFERENCIA,171.53
288,288,288,288,2025-10-26 20:11:05.000,PAYPAL,1669.39
289,289,289,289,2025-09-02 02:41:43.000,TARJETA,1664.89
290,290,290,290,2025-11-25 18:29:48.000,EFECTIVO,2770.98
291,291,291,291,2026-10-14 13:42:34.000,TRANSFERENCIA,2828.06
292,292,292,292,2026-11-14 02:03:05.000,PAYPAL,340.48
293,293,293,293,2026-01-27 18:45:26.000,BITCOIN,2057.56
294,294,294,294,2026-10-31 19:46:03.000,PAYPAL,1356.20
295,295,295,295,2026-03-15 13:14:46.000,PAYPAL,2183.37
296,296,296,296,2025-11-16 05:51:49.000,TARJETA,1032.59
297,297,297,297,2026-12-25 01:49:02.000,TRANSFERENCIA,1757.63
298,298,298,298,2025-07-12 10:24:33.000,TRANSFERENCIA,1010.59
299,299,299,299,2025-10-14 11:09:26.000,PAYPAL,2788.73
300,300,300,300,2026-08-09 22:24:09.000,BITCOIN,1083.80
301,301,301,301,2025-03-30 05:23:32.000,BITCOIN,390.17
302,302,302,302,2025-08-25 13:59:58.000,PAYPAL,1078.95
303,303,303,303,2025-05-15 13:59:43.000,BITCOIN,1027.69
304,304,304,304,2025-10-15 23:14:42.000,BITCOIN,736.27
305,305,305,305,2025-11-19 06:43:21.000,BITCOIN,1468.68
306,306,306,306,2025-09-27 03:54:36.000,EFECTIVO,1266.10
307,307,307,307,2026-10-30 13:06:32.000,TARJETA,1646.79
308,308,308,308,2026-11-20 07:10:21.000,TARJETA,2016.64
309,309,309,309,2025-09-07 16:51:05.000,TRANSFERENCIA,2595.91
310,310,310,310,2025-01-16 18:27:14.000,EFECTIVO,1627.17
311,311,311,311,2026-01-26 10:55:37.000,BITCOIN,2298.20
312,312,312,312,2026-04-04 15:22:19.000,BITCOIN,2105.23
313,313,313,313,2025-06-24 00:51:36.000,TARJETA,2245.87
314,314,314,314,2025-07-01 05:49:23.000,PAYPAL,1933.72
315,315,315,315,2026-05-28 17:05:42.000,TARJETA,2622.01
316,316,316,316,2025-09-29 21:44:16.000,TARJETA,1731.89
317,317,317,317,2025-08-08 10:14:40.000,BITCOIN,274.69
318,318,318,318,2026-11-23 01:26:49.000,TRANSFERENCIA,2588.71
319,319,319,319,2026-06-24 08:40:05.000,TARJETA,63.75
320,320,320,320,2026-03-26 19:57:46.000,TARJETA,61.94
321,321,321,321,2025-05-11 03:29:51.000,PAYPAL,2873.49
322,322,322,322,2025-02-17 16:30:45.000,TARJETA,390.27
323,323,323,323,2026-02-03 15:42:05.000,TARJETA,1108.79
324,324,324,324,2026-08-05 06:21:58.000,PAYPAL,1753.98
325,325,325,325,2026-07-01 00:28:58.000,TARJETA,1554.16
326,326,326,326,2026-01-20 08:03:54.000,TARJETA,2427.16
327,327,327,327,2026-03-26 00:05:03.000,EFECTIVO,2347.30
328,328,328,328,2026-03-04 08:22:28.000,TARJETA,1598.82
329,329,329,329,2026-07-09 02:01:53.000,EFECTIVO,2854.17
330,330,330,330,2026-03-07 06:30:37.000,TRANSFERENCIA,1903.88
331,331,331,331,2025-11-28 04:05:39.000,BITCOIN,2921.33
332,332,332,332,2026-08-07 22:09:21.000,TRANSFERENCIA,1588.30
333,333,333,333,2025-10-07 09:24:20.000,EFECTIVO,1079.66
334,334,334,334,2025-08-06 18:52:53.000,TRANSFERENCIA,1809.47
335,335,335,335,2026-08-18 07:38:56.000,TARJETA,1980.69
336,336,336,336,2025-08-13 11:07:44.000,EFECTIVO,1895.03
337,337,337,337,2026-06-12 23:46:05.000,PAYPAL,2099.45
338,338,338,338,2026-08-22 23:27:51.000,PAYPAL,1417.19
339,339,339,339,2025-12-26 22:58:10.000,EFECTIVO,1817.72
340,340,340,340,2026-04-24 21:29:46.000,TRANSFERENCIA,1959.48
341,341,341,341,2026-08-18 22:01:48.000,PAYPAL,1208.11
342,342,342,342,2026-03-25 03:57:56.000,TARJETA,2579.09
343,343,343,343,2026-10-14 10:44:36.000,TRANSFERENCIA,1051.04
344,344,344,344,2026-02-05 21:36:26.000,TRANSFERENCIA,2791.84
345,345,345,345,2025-03-12 03:31:00.000,TRANSFERENCIA,1989.74
346,346,346,346,2026-04-02 09:28:01.000,TRANSFERENCIA,486.73
347,347,347,347,2026-08-08 10:57:35.000,PAYPAL,2910.20
348,348,348,348,2026-11-06 09:10:26.000,TARJETA,1529.26
349,349,349,349,2026-01-10 04:17:25.000,TARJETA,2595.39
350,350,350,350,2026-02-22 15:45:32.000,EFECTIVO,296.67
351,351,351,351,2025-12-30 04:21:30.000,PAYPAL,1649.23
352,352,352,352,2025-08-07 16:58:19.000,TARJETA,550.58
353,353,353,353,2026-11-09 04:18:39.000,TRANSFERENCIA,1862.23
354,354,354,354,2025-03-12 07:28:56.000,TARJETA,1607.19
355,355,355,355,2026-01-31 00:58:07.000,TRANSFERENCIA,1039.55
356,356,356,356,2026-06-06 18:26:45.000,PAYPAL,2699.22
357,357,357,357,2025-03-24 18:59:00.000,TARJETA,884.18
358,358,358,358,2025-10-12 05:40:02.000,TRANSFERENCIA,2724.81
359,359,359,359,2026-11-14 13:10:07.000,PAYPAL,1884.88
360,360,360,360,2026-03-13 21:06:08.000,TRANSFERENCIA,2285.05
361,361,361,361,2025-02-25 18:57:58.000,PAYPAL,1470.52
362,362,362,362,2025-03-19 15:14:58.000,PAYPAL,238.56
363,363,363,363,2025-03-16 08:46:37.000,TARJETA,377.56
364,364,364,364,2025-09-05 15:59:39.000,TARJETA,1519.15
365,365,365,365,2025-09-21 05:40:45.000,TRANSFERENCIA,1934.64
366,366,366,366,2025-07-26 18:59:12.000,BITCOIN,537.59
367,367,367,367,2026-11-04 06:48:38.000,EFECTIVO,2167.08
368,368,368,368,2025-06-09 17:59:21.000,BITCOIN,1899.68
369,369,369,369,2025-07-18 13:14:17.000,PAYPAL,2694.68
370,370,370,370,2026-06-01 07:38:30.000,PAYPAL,619.33
371,371,371,371,2026-04-07 17:32:12.000,PAYPAL,1618.73
372,372,372,372,2025-09-04 08:47:32.000,TRANSFERENCIA,2723.68
373,373,373,373,2025-08-11 09:46:18.000,EFECTIVO,967.37
374,374,374,374,2025-04-16 07:03:24.000,TRANSFERENCIA,1567.16
375,375,375,375,2025-10-27 03:40:40.000,TRANSFERENCIA,2297.49
376,376,376,376,2025-02-03 04:01:40.000,BITCOIN,2865.08
377,377,377,377,2026-09-04 01:26:17.000,EFECTIVO,2131.84
378,378,378,378,2025-07-23 21:00:28.000,BITCOIN,929.36
379,379,379,379,2026-11-18 00:49:02.000,EFECTIVO,1267.19
380,380,380,380,2026-06-29 23:12:29.000,TARJETA,2209.84
381,381,381,381,2025-06-11 17:48:40.000,PAYPAL,2264.72
382,382,382,382,2026-04-23 03:36:29.000,PAYPAL,1214.27
383,383,383,383,2025-06-07 14:50:02.000,TARJETA,2226.16
384,384,384,384,2026-07-09 14:10:12.000,PAYPAL,1003.37
385,385,385,385,2026-08-26 16:22:17.000,PAYPAL,1575.32
386,386,386,386,2025-05-17 19:00:56.000,TRANSFERENCIA,889.14
387,387,387,387,2026-12-07 07:45:52.000,EFECTIVO,2088.04
388,388,388,388,2026-05-08 13:15:52.000,PAYPAL,874.46
389,389,389,389,2026-09-22 14:56:13.000,PAYPAL,2967.54
390,390,390,390,2026-03-26 15:45:45.000,PAYPAL,414.90
391,391,391,391,2025-05-30 16:01:42.000,TRANSFERENCIA,1353.25
392,392,392,392,2026-01-14 23:29:21.000,EFECTIVO,1585.08
