"id_detalle_factura","id_factura","id_servicio","id_habitacion","id_descuento","id_aumento_costo","concepto","precio_unitario","cantidad","subtotal","monto_descuento","monto_aumento","precio_total"
42,42,,331,,,Estad??a de habitaci??n,116.86,13,1519.18,0.00,0.00,1519.18
43,43,,331,,,Estad??a de habitaci??n,116.86,13,1519.18,0.00,0.00,1519.18
44,44,,331,,,Estad??a de habitaci??n,116.86,9,1051.74,0.00,0.00,1051.74
45,45,,331,,,Estad??a de habitaci??n,116.86,9,1051.74,0.00,0.00,1051.74
46,46,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
47,47,,331,,,Estad??a de habitaci??n,116.86,11,1285.46,0.00,0.00,1285.46
48,48,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
49,49,,17,,,Estad??a de habitaci??n,439.08,2,878.16,0.00,0.00,878.16
50,50,,260,,,Estad??a de habitaci??n,431.26,9,3881.34,0.00,0.00,3881.34
51,51,,331,,,Estad??a de habitaci??n,116.86,5,584.30,0.00,0.00,584.30
52,52,,331,,,Estad??a de habitaci??n,116.86,12,1402.32,0.00,0.00,1402.32
53,53,,120,,,Estad??a de habitaci??n,155.80,10,1558.00,0.00,0.00,1558.00
54,54,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
55,55,,331,,,Estad??a de habitaci??n,116.86,10,1168.60,0.00,0.00,1168.60
56,56,,331,,,Estad??a de habitaci??n,116.86,4,467.44,0.00,0.00,467.44
57,57,,81,,,Estad??a de habitaci??n,439.03,11,4829.33,0.00,0.00,4829.33
58,58,,331,,,Estad??a de habitaci??n,116.86,1,116.86,0.00,0.00,116.86
59,59,,57,,,Estad??a de habitaci??n,683.50,5,3417.50,0.00,0.00,3417.50
60,59,,57,,,Estad??a de habitaci??n,683.50,5,3417.50,0.00,0.00,3417.50
61,60,,112,,,Estad??a de habitaci??n,210.33,13,2734.29,0.00,0.00,2734.29
62,61,,896,,,Estad??a de habitaci??n,699.26,8,5594.08,0.00,0.00,5594.08
63,62,,331,,,Estad??a de habitaci??n,116.86,5,584.30,0.00,0.00,584.30
64,63,,853,,,Estad??a de habitaci??n,261.76,9,2355.84,0.00,0.00,2355.84
65,64,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
66,65,,85,,,Estad??a de habitaci??n,204.31,8,1634.48,0.00,0.00,1634.48
67,66,,331,,,Estad??a de habitaci??n,116.86,12,1402.32,0.00,0.00,1402.32
68,67,,331,,,Estad??a de habitaci??n,116.86,13,1519.18,0.00,0.00,1519.18
69,68,,331,,,Estad??a de habitaci??n,116.86,7,818.02,0.00,0.00,818.02
70,69,,331,,,Estad??a de habitaci??n,116.86,4,467.44,0.00,0.00,467.44
71,70,,331,,,Estad??a de habitaci??n,116.86,9,1051.74,0.00,0.00,1051.74
72,71,,331,,,Estad??a de habitaci??n,116.86,3,350.58,0.00,0.00,350.58
73,72,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
74,73,,331,,,Estad??a de habitaci??n,116.86,10,1168.60,0.00,0.00,1168.60
75,74,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
76,75,,331,,,Estad??a de habitaci??n,116.86,6,701.16,0.00,0.00,701.16
77,76,,331,,,Estad??a de habitaci??n,116.86,11,1285.46,0.00,0.00,1285.46
78,77,,38,,,Estad??a de habitaci??n,229.98,15,3449.70,0.00,0.00,3449.70
79,78,,331,,,Estad??a de habitaci??n,116.86,11,1285.46,0.00,0.00,1285.46
80,79,,331,,,Estad??a de habitaci??n,116.86,4,467.44,0.00,0.00,467.44
81,80,,331,,,Estad??a de habitaci??n,116.86,4,467.44,0.00,0.00,467.44
82,81,,331,,,Estad??a de habitaci??n,116.86,8,934.88,0.00,0.00,934.88
83,82,,331,,,Estad??a de habitaci??n,116.86,5,584.30,0.00,0.00,584.30
84,83,,331,,,Estad??a de habitaci??n,116.86,7,818.02,0.00,0.00,818.02
85,84,,331,,,Estad??a de habitaci??n,116.86,5,584.30,0.00,0.00,584.30
86,85,,331,,,Estad??a de habitaci??n,116.86,15,1752.90,0.00,0.00,1752.90
87,86,,331,,,Estad??a de habitaci??n,116.86,5,584.30,0.00,0.00,584.30
88,87,,303,,,Estad??a de habitaci??n,707.69,3,2123.07,0.00,0.00,2123.07
89,87,,303,,,Estad??a de habitaci??n,707.69,3,2123.07,0.00,0.00,2123.07
90,88,,331,,,Estad??a de habitaci??n,116.86,10,1168.60,0.00,0.00,1168.60
91,89,,331,,,Estad??a de habitaci??n,116.86,15,1752.90,0.00,0.00,1752.90
92,90,,73,,,Estad??a de habitaci??n,532.31,13,6920.03,0.00,0.00,6920.03
93,90,,73,,,Estad??a de habitaci??n,532.31,13,6920.03,0.00,0.00,6920.03
94,91,,331,,,Estad??a de habitaci??n,116.86,7,818.02,0.00,0.00,818.02
95,92,,331,,,Estad??a de habitaci??n,116.86,14,1636.04,0.00,0.00,1636.04
96,93,,180,,,Estad??a de habitaci??n,580.66,4,2322.64,0.00,0.00,2322.64
97,94,,331,,,Estad??a de habitaci??n,116.86,7,818.02,0.00,0.00,818.02
98,95,,331,,,Estad??a de habitaci??n,116.86,11,1285.46,0.00,0.00,1285.46
99,96,,333,,,Estad??a de habitaci??n,589.81,8,4718.48,0.00,0.00,4718.48
100,96,,699,,,Estad??a de habitaci??n,351.55,8,2812.40,0.00,0.00,2812.40
101,97,,181,,,Estad??a de habitaci??n,655.55,1,655.55,0.00,0.00,655.55
102,97,,342,,,Estad??a de habitaci??n,740.68,1,740.68,0.00,0.00,740.68
103,98,,419,,,Estad??a de habitaci??n,366.54,11,4031.94,0.00,0.00,4031.94
104,98,,490,,,Estad??a de habitaci??n,246.47,11,2711.17,0.00,0.00,2711.17
105,98,,688,,,Estad??a de habitaci??n,520.26,11,5722.86,0.00,0.00,5722.86
106,99,,727,,,Estad??a de habitaci??n,198.62,5,993.10,0.00,0.00,993.10
107,100,,93,,,Estad??a de habitaci??n,717.83,15,10767.45,0.00,0.00,10767.45
108,100,,435,,,Estad??a de habitaci??n,120.67,15,1810.05,0.00,0.00,1810.05
109,100,,379,,,Estad??a de habitaci??n,566.82,15,8502.30,0.00,0.00,8502.30
110,101,,595,,,Estad??a de habitaci??n,609.16,13,7919.08,0.00,0.00,7919.08
111,102,,494,,,Estad??a de habitaci??n,739.72,2,1479.44,0.00,0.00,1479.44
112,102,,303,,,Estad??a de habitaci??n,707.69,2,1415.38,0.00,0.00,1415.38
113,103,,783,,,Estad??a de habitaci??n,707.31,14,9902.34,0.00,0.00,9902.34
114,103,,390,,,Estad??a de habitaci??n,398.74,14,5582.36,0.00,0.00,5582.36
115,103,,45,,,Estad??a de habitaci??n,732.84,14,10259.76,0.00,0.00,10259.76
116,103,,244,,,Estad??a de habitaci??n,563.19,14,7884.66,0.00,0.00,7884.66
117,104,,613,,,Estad??a de habitaci??n,554.50,11,6099.50,0.00,0.00,6099.50
118,104,,1,,,Estad??a de habitaci??n,79.74,11,877.14,0.00,0.00,877.14
119,104,,814,,,Estad??a de habitaci??n,583.10,11,6414.10,0.00,0.00,6414.10
120,105,,903,,,Estad??a de habitaci??n,588.47,6,3530.82,0.00,0.00,3530.82
121,106,,699,,,Estad??a de habitaci??n,351.55,10,3515.50,0.00,0.00,3515.50
122,107,,954,,,Estad??a de habitaci??n,616.98,11,6786.78,0.00,0.00,6786.78
123,107,,70,,,Estad??a de habitaci??n,170.26,11,1872.86,0.00,0.00,1872.86
124,107,,463,,,Estad??a de habitaci??n,665.51,11,7320.61,0.00,0.00,7320.61
125,108,,595,,,Estad??a de habitaci??n,609.16,5,3045.80,0.00,0.00,3045.80
126,109,,131,,,Estad??a de habitaci??n,529.45,3,1588.35,0.00,0.00,1588.35
127,109,,877,,,Estad??a de habitaci??n,250.72,3,752.16,0.00,0.00,752.16
128,110,,645,,,Estad??a de habitaci??n,705.98,1,705.98,0.00,0.00,705.98
129,111,,784,,,Estad??a de habitaci??n,472.57,13,6143.41,0.00,0.00,6143.41
130,112,,162,,,Estad??a de habitaci??n,668.63,13,8692.19,0.00,0.00,8692.19
131,112,,401,,,Estad??a de habitaci??n,448.34,13,5828.42,0.00,0.00,5828.42
132,113,,916,,,Estad??a de habitaci??n,145.35,2,290.70,0.00,0.00,290.70
133,114,,490,,,Estad??a de habitaci??n,246.47,8,1971.76,0.00,0.00,1971.76
134,114,,242,,,Estad??a de habitaci??n,401.76,8,3214.08,0.00,0.00,3214.08
135,115,,652,,,Estad??a de habitaci??n,138.34,14,1936.76,0.00,0.00,1936.76
136,115,,583,,,Estad??a de habitaci??n,636.49,14,8910.86,0.00,0.00,8910.86
137,116,,864,,,Estad??a de habitaci??n,583.95,4,2335.80,0.00,0.00,2335.80
138,117,,366,,,Estad??a de habitaci??n,692.51,7,4847.57,0.00,0.00,4847.57
139,118,,203,,,Estad??a de habitaci??n,232.34,1,232.34,0.00,0.00,232.34
140,118,,681,,,Estad??a de habitaci??n,145.90,1,145.90,0.00,0.00,145.90
141,119,,178,,,Estad??a de habitaci??n,353.55,14,4949.70,0.00,0.00,4949.70
142,119,,110,,,Estad??a de habitaci??n,288.54,14,4039.56,0.00,0.00,4039.56
143,119,,773,,,Estad??a de habitaci??n,397.23,14,5561.22,0.00,0.00,5561.22
144,120,,753,,,Estad??a de habitaci??n,215.89,10,2158.90,0.00,0.00,2158.90
145,120,,340,,,Estad??a de habitaci??n,257.22,10,2572.20,0.00,0.00,2572.20
146,121,,741,,,Estad??a de habitaci??n,529.31,15,7939.65,0.00,0.00,7939.65
147,121,,799,,,Estad??a de habitaci??n,536.00,15,8040.00,0.00,0.00,8040.00
148,121,,446,,,Estad??a de habitaci??n,644.51,15,9667.65,0.00,0.00,9667.65
149,122,,536,,,Estad??a de habitaci??n,676.69,14,9473.66,0.00,0.00,9473.66
150,122,,307,,,Estad??a de habitaci??n,386.39,14,5409.46,0.00,0.00,5409.46
151,123,,437,,,Estad??a de habitaci??n,147.59,4,590.36,0.00,0.00,590.36
152,124,,233,,,Estad??a de habitaci??n,686.64,13,8926.32,0.00,0.00,8926.32
153,124,,813,,,Estad??a de habitaci??n,650.21,13,8452.73,0.00,0.00,8452.73
154,125,,78,,,Estad??a de habitaci??n,176.29,8,1410.32,0.00,0.00,1410.32
155,125,,428,,,Estad??a de habitaci??n,530.51,8,4244.08,0.00,0.00,4244.08
156,126,,211,,,Estad??a de habitaci??n,98.00,11,1078.00,0.00,0.00,1078.00
157,127,,553,,,Estad??a de habitaci??n,538.07,9,4842.63,0.00,0.00,4842.63
158,127,,296,,,Estad??a de habitaci??n,209.02,9,1881.18,0.00,0.00,1881.18
159,127,,222,,,Estad??a de habitaci??n,365.52,9,3289.68,0.00,0.00,3289.68
160,127,,576,,,Estad??a de habitaci??n,723.00,9,6507.00,0.00,0.00,6507.00
161,128,,896,,,Estad??a de habitaci??n,699.26,13,9090.38,0.00,0.00,9090.38
162,129,,639,,,Estad??a de habitaci??n,327.57,3,982.71,0.00,0.00,982.71
163,129,,426,,,Estad??a de habitaci??n,271.44,3,814.32,0.00,0.00,814.32
164,130,,111,,,Estad??a de habitaci??n,234.07,12,2808.84,0.00,0.00,2808.84
165,131,,670,,,Estad??a de habitaci??n,143.71,3,431.13,0.00,0.00,431.13
166,131,,647,,,Estad??a de habitaci??n,403.25,3,1209.75,0.00,0.00,1209.75
167,132,,559,,,Estad??a de habitaci??n,252.82,4,1011.28,0.00,0.00,1011.28
168,132,,673,,,Estad??a de habitaci??n,254.28,4,1017.12,0.00,0.00,1017.12
169,133,,480,,,Estad??a de habitaci??n,514.60,8,4116.80,0.00,0.00,4116.80
170,134,,147,,,Estad??a de habitaci??n,281.19,13,3655.47,0.00,0.00,3655.47
171,135,,836,,,Estad??a de habitaci??n,529.56,1,529.56,0.00,0.00,529.56
172,135,,154,,,Estad??a de habitaci??n,178.37,1,178.37,0.00,0.00,178.37
173,135,,752,,,Estad??a de habitaci??n,201.36,1,201.36,0.00,0.00,201.36
174,136,,673,,,Estad??a de habitaci??n,254.28,7,1779.96,0.00,0.00,1779.96
175,137,,933,,,Estad??a de habitaci??n,485.18,3,1455.54,0.00,0.00,1455.54
176,137,,831,,,Estad??a de habitaci??n,749.82,3,2249.46,0.00,0.00,2249.46
177,138,,817,,,Estad??a de habitaci??n,91.00,15,1365.00,0.00,0.00,1365.00
178,138,,165,,,Estad??a de habitaci??n,144.18,15,2162.70,0.00,0.00,2162.70
179,139,,380,,,Estad??a de habitaci??n,190.39,13,2475.07,0.00,0.00,2475.07
180,139,,435,,,Estad??a de habitaci??n,120.67,13,1568.71,0.00,0.00,1568.71
181,139,,836,,,Estad??a de habitaci??n,529.56,13,6884.28,0.00,0.00,6884.28
182,140,,456,,,Estad??a de habitaci??n,744.84,9,6703.56,0.00,0.00,6703.56
183,140,,23,,,Estad??a de habitaci??n,394.30,9,3548.70,0.00,0.00,3548.70
184,140,,246,,,Estad??a de habitaci??n,351.19,9,3160.71,0.00,0.00,3160.71
185,141,,935,,,Estad??a de habitaci??n,740.62,12,8887.44,0.00,0.00,8887.44
186,141,,33,,,Estad??a de habitaci??n,273.74,12,3284.88,0.00,0.00,3284.88
187,142,,429,,,Estad??a de habitaci??n,575.66,8,4605.28,0.00,0.00,4605.28
188,143,,11,,,Estad??a de habitaci??n,658.48,10,6584.80,0.00,0.00,6584.80
189,144,,628,,,Estad??a de habitaci??n,75.26,6,451.56,0.00,0.00,451.56
190,144,,256,,,Estad??a de habitaci??n,536.08,6,3216.48,0.00,0.00,3216.48
191,145,,299,,,Estad??a de habitaci??n,723.50,7,5064.50,0.00,0.00,5064.50
192,145,,626,,,Estad??a de habitaci??n,746.09,7,5222.63,0.00,0.00,5222.63
193,146,,906,,,Estad??a de habitaci??n,88.00,3,264.00,0.00,0.00,264.00
194,146,,397,,,Estad??a de habitaci??n,116.01,3,348.03,0.00,0.00,348.03
195,146,,947,,,Estad??a de habitaci??n,92.74,3,278.22,0.00,0.00,278.22
196,146,,229,,,Estad??a de habitaci??n,118.17,3,354.51,0.00,0.00,354.51
197,147,,485,,,Estad??a de habitaci??n,88.73,3,266.19,0.00,0.00,266.19
198,148,,724,,,Estad??a de habitaci??n,552.42,15,8286.30,0.00,0.00,8286.30
199,148,,361,,,Estad??a de habitaci??n,487.63,15,7314.45,0.00,0.00,7314.45
200,149,,419,,,Estad??a de habitaci??n,366.54,15,5498.10,0.00,0.00,5498.10
201,149,,396,,,Estad??a de habitaci??n,560.39,15,8405.85,0.00,0.00,8405.85
202,149,,331,,,Estad??a de habitaci??n,116.86,15,1752.90,0.00,0.00,1752.90
203,150,,898,,,Estad??a de habitaci??n,314.31,15,4714.65,0.00,0.00,4714.65
204,151,,773,,,Estad??a de habitaci??n,397.23,10,3972.30,0.00,0.00,3972.30
205,152,,368,,,Estad??a de habitaci??n,682.15,5,3410.75,0.00,0.00,3410.75
206,153,,452,,,Estad??a de habitaci??n,447.73,15,6715.95,0.00,0.00,6715.95
207,154,,640,,,Estad??a de habitaci??n,714.98,15,10724.70,0.00,0.00,10724.70
208,155,,646,,,Estad??a de habitaci??n,441.45,3,1324.35,0.00,0.00,1324.35
209,156,,521,,,Estad??a de habitaci??n,489.48,7,3426.36,0.00,0.00,3426.36
210,156,,439,,,Estad??a de habitaci??n,489.17,7,3424.19,0.00,0.00,3424.19
211,157,,535,,,Estad??a de habitaci??n,734.51,11,8079.61,0.00,0.00,8079.61
212,158,,64,,,Estad??a de habitaci??n,384.40,10,3844.00,0.00,0.00,3844.00
213,159,,655,,,Estad??a de habitaci??n,566.78,2,1133.56,0.00,0.00,1133.56
214,160,,314,,,Estad??a de habitaci??n,82.38,7,576.66,0.00,0.00,576.66
215,161,,960,,,Estad??a de habitaci??n,616.71,11,6783.81,0.00,0.00,6783.81
216,162,,409,,,Estad??a de habitaci??n,655.47,15,9832.05,0.00,0.00,9832.05
217,163,,728,,,Estad??a de habitaci??n,518.03,9,4662.27,0.00,0.00,4662.27
218,164,,973,,,Estad??a de habitaci??n,111.26,4,445.04,0.00,0.00,445.04
219,165,,488,,,Estad??a de habitaci??n,532.94,14,7461.16,0.00,0.00,7461.16
220,165,,229,,,Estad??a de habitaci??n,118.17,14,1654.38,0.00,0.00,1654.38
221,166,,852,,,Estad??a de habitaci??n,408.84,3,1226.52,0.00,0.00,1226.52
222,166,,520,,,Estad??a de habitaci??n,169.63,3,508.89,0.00,0.00,508.89
223,167,,694,,,Estad??a de habitaci??n,172.26,12,2067.12,0.00,0.00,2067.12
224,168,,915,,,Estad??a de habitaci??n,628.76,1,628.76,0.00,0.00,628.76
225,169,,248,,,Estad??a de habitaci??n,137.99,5,689.95,0.00,0.00,689.95
226,170,,536,,,Estad??a de habitaci??n,676.69,12,8120.28,0.00,0.00,8120.28
227,171,,202,,,Estad??a de habitaci??n,548.44,4,2193.76,0.00,0.00,2193.76
228,171,,518,,,Estad??a de habitaci??n,400.95,4,1603.80,0.00,0.00,1603.80
229,172,,532,,,Estad??a de habitaci??n,67.00,11,737.00,0.00,0.00,737.00
230,173,,806,,,Estad??a de habitaci??n,117.18,4,468.72,0.00,0.00,468.72
231,174,,816,,,Estad??a de habitaci??n,237.26,6,1423.56,0.00,0.00,1423.56
232,174,,367,,,Estad??a de habitaci??n,476.20,6,2857.20,0.00,0.00,2857.20
233,175,,561,,,Estad??a de habitaci??n,473.37,3,1420.11,0.00,0.00,1420.11
234,176,,464,,,Estad??a de habitaci??n,600.28,1,600.28,0.00,0.00,600.28
235,177,,288,,,Estad??a de habitaci??n,86.00,10,860.00,0.00,0.00,860.00
236,178,,332,,,Estad??a de habitaci??n,470.38,13,6114.94,0.00,0.00,6114.94
237,178,,820,,,Estad??a de habitaci??n,148.49,13,1930.37,0.00,0.00,1930.37
238,179,,418,,,Estad??a de habitaci??n,700.87,3,2102.61,0.00,0.00,2102.61
239,180,,301,,,Estad??a de habitaci??n,508.72,5,2543.60,0.00,0.00,2543.60
240,155,6,,,,Lavander??a (por libra),41.00,1,41.00,0.00,0.00,41.00
241,101,9,,,,Cena Rom??ntica en Playa,80.00,1,80.00,0.00,0.00,80.00
242,143,8,,,,Clase de Surf Privada,25.00,1,25.00,0.00,0.00,25.00
243,139,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
244,142,3,,,,Transporte Aeropuerto,35.00,1,35.00,0.00,0.00,35.00
245,32,8,,,,Clase de Surf Privada,25.00,1,25.00,0.00,0.00,25.00
246,146,10,,,,Estacionamiento Valet,32.00,1,32.00,0.00,0.00,32.00
247,52,3,,,,Transporte Aeropuerto,35.00,1,35.00,0.00,0.00,35.00
248,97,9,,,,Cena Rom??ntica en Playa,80.00,1,80.00,0.00,0.00,80.00
249,9,1,,,,Desayuno Buffet,15.00,1,15.00,0.00,0.00,15.00
250,144,9,,,,Cena Rom??ntica en Playa,80.00,1,80.00,0.00,0.00,80.00
251,124,1,,,,Desayuno Buffet,15.00,1,15.00,0.00,0.00,15.00
252,169,4,,,,Servicio a la Habitaci??n,10.00,1,10.00,0.00,0.00,10.00
253,92,1,,,,Desayuno Buffet,15.00,1,15.00,0.00,0.00,15.00
254,98,7,,,,Alquiler de Bicicleta,12.00,1,12.00,0.00,0.00,12.00
255,169,1,,,,Desayuno Buffet,15.00,1,15.00,0.00,0.00,15.00
256,142,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
257,21,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
258,67,5,,,,Tour Guiado Volcanes,60.00,1,60.00,0.00,0.00,60.00
259,35,4,,,,Servicio a la Habitaci??n,10.00,1,10.00,0.00,0.00,10.00
260,162,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
261,146,7,,,,Alquiler de Bicicleta,12.00,1,12.00,0.00,0.00,12.00
262,95,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
263,157,7,,,,Alquiler de Bicicleta,12.00,1,12.00,0.00,0.00,12.00
264,22,6,,,,Lavander??a (por libra),41.00,1,41.00,0.00,0.00,41.00
265,25,5,,,,Tour Guiado Volcanes,60.00,1,60.00,0.00,0.00,60.00
266,60,3,,,,Transporte Aeropuerto,35.00,1,35.00,0.00,0.00,35.00
267,60,4,,,,Servicio a la Habitaci??n,10.00,1,10.00,0.00,0.00,10.00
268,18,7,,,,Alquiler de Bicicleta,12.00,1,12.00,0.00,0.00,12.00
269,160,4,,,,Servicio a la Habitaci??n,10.00,1,10.00,0.00,0.00,10.00
270,66,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
271,18,9,,,,Cena Rom??ntica en Playa,80.00,1,80.00,0.00,0.00,80.00
272,74,6,,,,Lavander??a (por libra),41.00,1,41.00,0.00,0.00,41.00
273,50,10,,,,Estacionamiento Valet,32.00,1,32.00,0.00,0.00,32.00
274,66,3,,,,Transporte Aeropuerto,35.00,1,35.00,0.00,0.00,35.00
275,56,3,,,,Transporte Aeropuerto,35.00,1,35.00,0.00,0.00,35.00
276,18,1,,,,Desayuno Buffet,15.00,1,15.00,0.00,0.00,15.00
277,47,7,,,,Alquiler de Bicicleta,12.00,1,12.00,0.00,0.00,12.00
278,103,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
279,12,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
280,153,7,,,,Alquiler de Bicicleta,12.00,1,12.00,0.00,0.00,12.00
281,164,8,,,,Clase de Surf Privada,25.00,1,25.00,0.00,0.00,25.00
282,51,8,,,,Clase de Surf Privada,25.00,1,25.00,0.00,0.00,25.00
283,178,8,,,,Clase de Surf Privada,25.00,1,25.00,0.00,0.00,25.00
284,98,5,,,,Tour Guiado Volcanes,60.00,1,60.00,0.00,0.00,60.00
285,129,7,,,,Alquiler de Bicicleta,12.00,1,12.00,0.00,0.00,12.00
286,18,3,,,,Transporte Aeropuerto,35.00,1,35.00,0.00,0.00,35.00
287,25,7,,,,Alquiler de Bicicleta,12.00,1,12.00,0.00,0.00,12.00
288,96,6,,,,Lavander??a (por libra),41.00,1,41.00,0.00,0.00,41.00
289,154,9,,,,Cena Rom??ntica en Playa,80.00,1,80.00,0.00,0.00,80.00
290,158,6,,,,Lavander??a (por libra),41.00,1,41.00,0.00,0.00,41.00
291,11,5,,,,Tour Guiado Volcanes,60.00,1,60.00,0.00,0.00,60.00
292,87,3,,,,Transporte Aeropuerto,35.00,1,35.00,0.00,0.00,35.00
293,163,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
294,20,1,,,,Desayuno Buffet,15.00,1,15.00,0.00,0.00,15.00
295,126,1,,,,Desayuno Buffet,15.00,1,15.00,0.00,0.00,15.00
296,149,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
297,175,5,,,,Tour Guiado Volcanes,60.00,1,60.00,0.00,0.00,60.00
298,173,4,,,,Servicio a la Habitaci??n,10.00,1,10.00,0.00,0.00,10.00
299,177,6,,,,Lavander??a (por libra),41.00,1,41.00,0.00,0.00,41.00
300,44,5,,,,Tour Guiado Volcanes,60.00,1,60.00,0.00,0.00,60.00
301,85,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
302,116,1,,,,Desayuno Buffet,15.00,1,15.00,0.00,0.00,15.00
303,55,6,,,,Lavander??a (por libra),41.00,1,41.00,0.00,0.00,41.00
304,5,8,,,,Clase de Surf Privada,25.00,1,25.00,0.00,0.00,25.00
305,178,5,,,,Tour Guiado Volcanes,60.00,1,60.00,0.00,0.00,60.00
306,118,8,,,,Clase de Surf Privada,25.00,1,25.00,0.00,0.00,25.00
307,147,6,,,,Lavander??a (por libra),41.00,1,41.00,0.00,0.00,41.00
308,25,2,,,,Masaje Relajante 60 min,45.00,1,45.00,0.00,0.00,45.00
