"id_estadia","id_reservacion","checkin","checkout"
454,454,2026-02-07 00:20:04.000,2026-02-15 00:20:04.000
457,457,2025-03-04 21:33:22.000,2025-03-19 21:33:22.000
458,458,2025-07-05 20:16:07.000,2025-07-18 20:16:07.000
468,468,2025-11-09 05:39:55.000,2025-11-24 05:39:55.000
469,469,2026-05-08 22:27:58.000,2026-05-17 22:27:58.000
475,475,2026-01-24 07:27:21.000,2026-01-27 07:27:21.000
485,485,2025-06-11 20:32:19.000,2025-06-16 20:32:19.000
488,488,2025-01-26 06:19:46.000,2025-02-02 06:19:46.000
490,490,2025-10-20 08:59:22.000,2025-10-24 08:59:22.000
516,516,2025-05-08 04:19:02.000,2025-05-20 04:19:02.000
518,518,2026-02-24 05:47:09.000,2026-03-07 05:47:09.000
522,522,2025-01-28 23:27:01.000,2025-02-07 23:27:01.000
523,523,2025-01-28 03:54:58.000,2025-01-31 03:54:58.000
534,534,2026-01-12 10:52:23.000,2026-01-19 10:52:23.000
537,537,2025-10-26 13:50:08.000,2025-11-05 13:50:08.000
539,539,2026-04-02 17:29:29.000,2026-04-12 17:29:29.000
544,544,2025-12-27 19:00:28.000,2026-01-07 19:00:28.000
545,545,2026-05-28 12:27:24.000,2026-05-29 12:27:24.000
546,546,2026-02-22 04:42:37.000,2026-03-04 04:42:37.000
566,566,2026-04-12 18:54:41.000,2026-04-20 18:54:41.000
581,581,2025-02-22 04:38:29.000,2025-03-05 04:38:29.000
587,587,2026-03-29 18:49:08.000,2026-04-02 18:49:08.000
593,593,2025-09-18 19:56:09.000,2025-09-29 19:56:09.000
602,602,2026-04-16 19:37:22.000,2026-04-28 19:37:22.000
603,603,2025-06-15 22:29:22.000,2025-06-16 22:29:22.000
613,613,2025-11-08 17:53:30.000,2025-11-13 17:53:30.000
616,616,2025-07-25 03:07:27.000,2025-07-28 03:07:27.000
618,618,2025-10-04 19:59:35.000,2025-10-17 19:59:35.000
630,630,2025-07-25 15:25:00.000,2025-08-02 15:25:00.000
634,634,2025-09-11 13:24:37.000,2025-09-16 13:24:37.000
637,637,2025-05-29 22:29:37.000,2025-05-30 22:29:37.000
643,643,2026-01-17 22:10:37.000,2026-01-26 22:10:37.000
645,645,2025-08-06 06:58:58.000,2025-08-09 06:58:58.000
668,668,2025-03-24 16:13:28.000,2025-04-06 16:13:28.000
671,671,2026-05-14 12:33:16.000,2026-05-22 12:33:16.000
676,676,2026-03-16 08:56:42.000,2026-03-28 08:56:42.000
677,677,2025-04-23 10:07:04.000,2025-05-06 10:07:04.000
678,678,2025-03-19 03:02:05.000,2025-03-26 03:02:05.000
684,684,2026-01-24 16:57:51.000,2026-02-08 16:57:51.000
694,694,2026-01-28 21:01:45.000,2026-02-01 21:01:45.000
708,708,2025-04-15 11:59:41.000,2025-04-28 11:59:41.000
712,712,2025-03-03 11:05:17.000,2025-03-12 11:05:17.000
723,723,2025-06-07 23:06:00.000,2025-06-10 23:06:00.000
731,731,2026-05-21 23:12:37.000,2026-05-29 23:12:37.000
740,740,2026-04-23 05:33:29.000,2026-05-03 05:33:29.000
742,742,2025-04-29 14:15:32.000,2025-05-09 14:15:32.000
747,747,2025-09-02 11:12:01.000,2025-09-10 11:12:01.000
751,751,2025-10-13 23:57:13.000,2025-10-19 23:57:13.000
755,755,2025-03-10 14:02:29.000,2025-03-19 14:02:29.000
763,763,2026-03-28 11:32:17.000,2026-04-05 11:32:17.000
764,764,2026-02-28 13:31:01.000,2026-03-09 13:31:01.000
767,767,2026-03-21 15:00:51.000,2026-03-25 15:00:51.000
776,776,2025-12-27 14:24:58.000,2025-12-29 14:24:58.000
780,780,2025-10-09 06:39:34.000,2025-10-10 06:39:34.000
783,783,2025-09-01 12:09:40.000,2025-09-07 12:09:40.000
786,786,2025-01-15 20:08:17.000,2025-01-28 20:08:17.000
789,789,2026-01-30 09:43:55.000,2026-02-10 09:43:55.000
790,790,2025-01-24 23:57:44.000,2025-02-07 23:57:44.000
794,794,2025-07-29 00:10:31.000,2025-08-13 00:10:31.000
796,796,2025-02-14 03:57:27.000,2025-03-01 03:57:27.000
807,807,2025-08-11 20:37:23.000,2025-08-13 20:37:23.000
809,809,2025-03-10 12:24:21.000,2025-03-25 12:24:21.000
810,810,2026-02-07 11:19:29.000,2026-02-12 11:19:29.000
824,824,2025-02-11 23:07:13.000,2025-02-22 23:07:13.000
827,827,2025-10-22 05:04:48.000,2025-11-05 05:04:48.000
834,834,2025-05-12 02:00:37.000,2025-05-16 02:00:37.000
838,838,2025-06-25 21:33:04.000,2025-06-28 21:33:04.000
850,850,2026-04-05 11:19:28.000,2026-04-09 11:19:28.000
851,851,2025-07-08 10:54:32.000,2025-07-16 10:54:32.000
852,852,2026-02-18 14:45:29.000,2026-02-19 14:45:29.000
854,854,2025-10-01 14:51:18.000,2025-10-11 14:51:18.000
873,873,2025-04-18 20:17:16.000,2025-04-26 20:17:16.000
887,887,2025-08-10 18:52:37.000,2025-08-12 18:52:37.000
890,890,2025-10-29 22:10:19.000,2025-11-03 22:10:19.000
891,891,2026-04-04 23:50:36.000,2026-04-14 23:50:36.000
899,899,2026-02-11 01:21:41.000,2026-02-18 01:21:41.000
900,900,2025-06-09 03:40:17.000,2025-06-14 03:40:17.000
907,907,2025-05-25 05:57:23.000,2025-06-09 05:57:23.000
912,912,2025-04-21 19:11:16.000,2025-05-06 19:11:16.000
926,926,2025-07-13 21:29:38.000,2025-07-18 21:29:38.000
927,927,2026-03-01 17:49:02.000,2026-03-05 17:49:02.000
934,934,2026-04-13 11:04:17.000,2026-04-21 11:04:17.000
945,945,2025-12-23 21:29:08.000,2025-12-29 21:29:08.000
948,948,2025-09-21 22:49:06.000,2025-09-24 22:49:06.000
957,957,2026-02-03 04:07:43.000,2026-02-16 04:07:43.000
960,960,2025-04-14 13:53:05.000,2025-04-24 13:53:05.000
963,963,2026-03-03 12:55:24.000,2026-03-06 12:55:24.000
978,978,2025-09-30 01:29:41.000,2025-10-15 01:29:41.000
979,979,2025-01-22 12:05:38.000,2025-02-04 12:05:38.000
985,985,2025-12-10 17:06:48.000,2025-12-17 17:06:48.000
989,989,2026-01-23 18:37:36.000,2026-02-06 18:37:36.000
991,991,2025-07-31 15:05:18.000,2025-08-04 15:05:18.000
992,992,2025-04-11 12:38:59.000,2025-04-18 12:38:59.000
995,995,2025-01-23 19:04:06.000,2025-02-03 19:04:06.000
